Scientific Name,Common Name,Genus,Pretreatment,Germination Instructions,Progress Status,Sowing Date,Germination Date,Quantity,Notes,Image Link,Growth Rate,Mature Height,Mature Width,Foliage Description,Flower Info,Flowering Time,Soil Preference,Frost Tolerance,Drought Tolerance,Conservation Status,Conservation Locale
"Acacia difficilis","River Wattle","Acacia","Scarification (Hot Water)","Sow in free draining warm sandy loam. Germinates in 2\text{--}5\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Tropical riparian tree.","https://images.squarespace-cdn.com/content/v1/5bacb83e809d8e12a0e172eb/7be07f52-79a3-4590-8ba1-d32f9c840b15/NT+Government+3.jpeg","Fast","3m - 8m","2m - 5m","Large elliptical curved olive-green leaves.","Dense yellow cylinders in winter.","Winter (Jun - Aug)","Sandy alluvial loam, river plains","Low (0°C)","Moderate","Least Concern","NT / QLD"
"Acacia acradenia","Velvet Hill Wattle","Acacia","Scarification (Hot Water)","Sow in highly porous warm red sand. Germinates in 3\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Velvety leaf textures.","https://apps.lucidcentral.org/wattle/images/entities/acacia_acradenia/s3198watif1.jpg","Slow to Moderate","2m - 5m","2m - 4m","Thick velvety leathery silver-green leaves.","Paired golden yellow rods.","Winter (Jun - Aug)","Skeletal red sand, desert loam","Low (-2°C)","Extremely High","Least Concern","Inland Australia"
"Melaleuca aspalathoides","Needle Honey-myrtle","Melaleuca","None Required","Bog method. Surface sow on moist mix. Cover. Germinates in 2\text{--}5\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Very showy dense purple-pink flowers.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu9bq5sq5IAnDGYbuP4k-oXb2y0jDSIStYvw&s","Moderate","0.5m - 1.5m","0.5m - 1.2m","Tiny sharp linear heath needles.","Rich pink spikes along stems.","Spring (Sep - Nov)","Sand over granite, gravelly soils","Moderate (-5°C)","High","Least Concern","WA"
"Acacia falcata","Sickle Wattle","Acacia","Scarification (Hot Water)","Sow in native loam, light cover. Place in sun. Germinates in 10\text{--}21\text{ days}.","Germinated","N/A","N/A","1 packet","Extremely hardy and robust soil-binding plant.","https://i0.wp.com/ppnn.org.au/wp-content/uploads/2018/05/Acacia-falcata-flowers.jpg?fit=1500%2C1125&ssl=1","Fast","2m - 5m","2m - 4m","Large sickle curved grey-green leaves with red rims.","Creamy white globes.","Autumn (Apr - Jun)","Adaptable, tolerates poor thin dry clay soils","High (-6°C)","High","Least Concern","NSW / QLD"
"Hakea laurina","Pincushion Hakea","Hakea","None Required","Sow flat in sandy loam, cover seed depth. Germination in 3\text{--}8\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Stunning orb-like pink flowers.","https://www.plantmark.com.au/images/thumbs/0282697_hakea-laurina_750.jpeg","Moderate to Fast","2.5m - 6m","2m - 5m","Long parallel-veined blue-green leaves.","Crimson spheres with white style pins.","Autumn (Apr - Jul)","Highly permeable sand-loams, gravels","Moderate (-5°C)","High","Least Concern","WA"
"Calothamnus quadrifidus","One-sided Bottlebrush","Calothamnus","None Required","Surface sow, cover with tiny sand layer. Germination in 2\text{--}5\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Bird attracting classic.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvqu8KN-xPhzlH4heK-yO1iDrtL7wYOcu2RQ&s","Fast","1.5m - 3m","1.5m - 3m","Densely packed green needles.","One-sided crimson comb brushes.","Spring (Sep - Dec)","Clay, sand, limestone, highly adaptable","High (-7°C)","High","Least Concern","WA"
"Melaleuca suberosa","Cork-barked Honey-myrtle","Melaleuca","None Required","Bog method. Surface sow on moist mix. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Beautiful bark textures.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg9I823DgBAN0DYj034VE28URFOhRgbNNb9Q&s","Moderate","0.3m - 1m","0.5m - 1.5m","Crowded linear small leaves.","Deep pink flowers directly from corky wood.","Spring (Oct - Jan)","Moist sandy clay, peats, damp margins","Moderate (-5°C)","Moderate","Least Concern","WA"
"Melaleuca violacea","Violet Honey-myrtle","Melaleuca","None Required","Bog method. Surface sow, keep moist. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Excellent ground shrub.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfzV5Uv25wbcfJh_vqxH7rPvwezsHMHjQPFA&s","Moderate","0.5m - 1.5m","1m - 2m","Opposite layers of heart-shaped dark green leaves.","Violet-purple pom-poms on stem ends.","Spring (Sep - Nov)","Seasonally wet clay-sand, wet flats","High (-6°C)","Moderate","Least Concern","WA"
"Acacia rhigiophylla","Dagger-leaf Wattle","Acacia","Scarification (Hot Water)","Sow in sandy soil, warm temperature. Germination in 3\text{--}8\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Good protective thicket plant.","https://spapps.environment.sa.gov.au/sosa.services/api/SpeciesImages/28112017/Acacia%20rhigiophylla%20f%20Denzel%20Murfet%20Murray%20Park.jpg","Slow","1m - 2m","1.5m - 3m","Extremely rigid dagger sharp leaves.","Paired yellow spheres.","Spring (Sep - Oct)","Rocky calcareous loam, heavy limestone","High (-6°C)","High","Rare","SA / NSW"
"Acacia stenophylla","River Cooba","Acacia","Scarification (Hot Water)","Sow in loam, keep moist. Warm position. Germinates in 2\text{--}5\text{ weeks}.","Germinated","N/A","N/A","1 packet","Highly salt tolerant tree.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXc5sO6g9cUk_vamieVg3c3LK1SZBe0Yif0A&s","Fast","4m - 10m","3m - 6m","Very long shoestring-like glaucous leaves.","Loose creamy pale yellow globes.","Autumn (Apr - Jul)","Heavy alluvial clay plains, riparian","High (-7°C)","Extremely High","Least Concern","Inland river systems"
"Acacia dealbata","Silver Wattle","Acacia","Scarification (Hot Water)","Sow in standard raising mix. Keep warm. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Extremely fast growing coloniser.","https://upload.wikimedia.org/wikipedia/commons/8/82/Acacia_dealbata-1.jpg","Very Fast","6m - 15m","5m - 10m","Fern-like feathery silver-blue leaves.","Huge yellow mass spheres.","Winter (Jul - Sep)","Deep moist mountain soils, rich loam","High (-10°C)","Moderate","Least Concern","SE Australia"
"Acacia pubifolia","Wyberba Wattle","Acacia","Scarification (Hot Water)","Sow in gritty sand loam. Warm spot. Germinates in 3\text{--}6\text{ weeks}.","Planted","N/A","N/A","1 packet","Foliage is intensely fuzzy.","https://apps.lucidcentral.org/wattle/images/entities/acacia_pubifolia/s23796watif1.jpg","Moderate","3m - 8m","2m - 5m","Silver-velvety felt-textured phyllodes.","Scented bright yellow globes.","Spring (Sep - Nov)","Granite soils, sandy acidic soils","High (-8°C)","High","Vulnerable","QLD / NSW border"
"Acacia glaucissima","Glaucous Wattle","Acacia","Scarification (Hot Water)","Sow in sandy loam, light cover. Germinates in 3\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Stunning blue-grey leaf coatings.","https://upload.wikimedia.org/wikipedia/commons/e/ec/Acacia_glaucocarpa.jpg","Moderate","1m - 2m","1.5m - 3m","Thick obovate powder blue-grey leaves.","Vibrant yellow globularheads.","Spring (Aug - Oct)","Sandy loam, gravel, calcareous sites","Moderate (-5°C)","High","Least Concern","WA"
"Melaleuca filifolia","Wiry Honey-myrtle","Melaleuca","None Required","Bog method. Keep warm and humid. Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Needle-thin foliage.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcOHnCkKJ3Ks0UDQNdI7rvRJmxXrd7D_vDQg&s","Moderate","1m - 3m","1.5m - 3m","Drooping, thread-like wiry green needles.","Rich pink spheres with gold tips.","Spring (Sep - Nov)","Sand/gravel plains, sandstone gravel swales","High (-6°C)","High","Least Concern","WA"
"Hakea invaginata","Pink Plumed Hakea","Hakea","None Required","Sow in porous mix, cover seed depth. Germination in 14\text{--}42\text{ days}.","Unstarted","N/A","N/A","1 packet","Fasciated looking flower clusters.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXEN0zAl9g7Jh7NO5M68sKx_qzgY34w8vXAQ&s","Moderate","1.5m - 3m","1.5m - 3m","Vertical, grooved green needle leafage.","Pink/purple plume cylinders along branches.","Spring (Aug - Oct)","Gravelly sands, clay loam slopes","Moderate (-4°C)","High","Least Concern","WA"
"Eucalyptus synandra","Jingymia Mallee","Eucalyptus","None Required","Sow on surface, light sand cover. Germinates in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","1 packet","Graceful weeping habit mallee.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpYKQdSkkgxy1yyo25fIQH99OeHwY7IW_M4Q&s","Moderate","3m - 6m","2m - 4m","Thin drooping dull olive-green leaves.","Hanging bells ageing from white to pink.","Spring (Aug - Nov)","Ironstone gravelly clay, granite sands","Moderate (-4°C)","High","Vulnerable","WA"
"Acacia colletioides","Wait-a-while / Spine Bush","Acacia","Scarification (Hot Water)","Sow in deep sandy loam. Protect from frost. Germination in 3\text{--}8\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Intricately branched and prickly.","https://inaturalist-open-data.s3.amazonaws.com/photos/150195796/medium.jpg","Slow","1.5m - 3m","2m - 4m","Prickly, spine-tipped stout needles.","Paired yellow spheres.","Winter (Jul - Sep)","Calcareous sandy clay, dry mallee loams","High (-8°C)","Extremely High","Least Concern","Inland Aus"
"Melaleuca pentagona var. latifolia","Broad-leaf Five-angled Honey-myrtle","Melaleuca","None Required","Bog method. Warm, humid position. Germinates in 2\text{--}5\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Very tough windbreak shrub.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfTuvJUZokTRQKXqft43PR066ZLg3CveWukw&s","Moderate","1m - 2.5m","1m - 2m","Broad-lanceolate leathery alternate leaves.","Pink-purple terminal spheres.","Summer (Dec - Jan)","Seasonally wet peat, sand flat swampy soils","High (-5°C)","Moderate","Least Concern","WA"
"Acacia rivalis","Creek Wattle","Acacia","Scarification (Hot Water)","Sow in loam. Place warm, moist position. Germinates in 3\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Arid creekline survivor.","https://apps.lucidcentral.org/wattle/images/entities/acacia_rivalis/mf1_7545_3.jpg","Moderate","3m - 5m","2.5m - 4m","Fine linear-sickle green leaves.","Cream-gold globular heads.","Winter (May - Aug)","Alluvial gravel, ephemeral sandy clay lines","High (-6°C)","Extremely High","Least Concern","SA / NSW border"
"Acacia fauntleroyi","Summer Rain Wattle","Acacia","Scarification (Hot Water)","Sow in sandy raising mix, keep warm. Germinates in 3\text{--}6\text{ weeks}.","Germinated","N/A","N/A","1 packet","Flaking red minni-ritchi bark.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Acacia_fauntleroyi_Fagg.jpg/250px-Acacia_fauntleroyi_Fagg.jpg","Moderate","2m - 5m","2m - 4m","Long silvery-white weeping leaf cords.","Scented golden yellow cylindrical spikes.","Spring (Sep - Nov)","Gravelly granite loam, rocky hill slopes","Moderate (-4°C)","High","Least Concern","WA"
"Melaleuca seriata","Pink Honey-myrtle","Melaleuca","None Required","Bog method. Surface sow, keep moist. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Compact garden-friendly size.","https://www.anbg.gov.au/images/photo_cd/132_JWW/a-40828_2.jpg","Moderate","0.5m - 1.5m","0.5m - 1.5m","Flat lanceolate dark green leaves.","Lavender-pink globular flower sprays.","Spring (Sep - Nov)","Sandy soils, coastal clay plains","Moderate (-5°C)","High","Least Concern","WA"
"Melaleuca tuberculata","Warty Honey-myrtle","Melaleuca","None Required","Bog method. Surface sow, cover glass. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Unusual bumpy leaf branchlet structures.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrW1cMipdnn-d056W9U8XzxBwyeDrvhKgTCQ&s","Moderate","0.5m - 1.5m","0.5m - 1.5m","Tiny scale-like leaves packed on bumpy stems.","Rich purple pink spheres.","Spring (Sep - Nov)","Dry skeletal sand, gravelly clay loams","Moderate (-4°C)","High","Least Concern","WA"
"Acacia crassa","Curly-bark Wattle","Acacia","Scarification (Hot Water)","Sow in free draining potting mix, keep warm. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Stately understorey wattle.","https://upload.wikimedia.org/wikipedia/commons/9/91/Acacia_crassa_foliage_and_flowers.jpg","Fast","4m - 10m","3m - 6m","Large sickle-shaped olive green leaves.","Vibrant yellow rods in winter.","Winter (Jun - Aug)","Skeletal loam, sandstone ridge grit","High (-6°C)","High","Least Concern","QLD"
"Eucalyptus macrocarpa","Rose of the West","Eucalyptus","None Required","Sow on surface, light covering of sand. Place warm (18\text{--}22^\circ\text{C}), sunny spot. Germinates in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","50 Seeds","Spectacular giant red flowers, massive silvery leaves.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXqTVYPx83dV-ib8pvMJx6bcENjtGG-D4yPg&s","Moderate","1.5m - 4m","2m - 4m","Giant heart-shaped, intensely silver glaucous leaves.","Huge watermelon-pink/rose flowers.","Spring (Aug - Nov)","Deep gravelly sand plains, extremely well-drained","Moderate (-4°C)","High","Least Concern","WA"
"Eucalyptus pulverulenta","Baby Blue Eucalyptus","Eucalyptus","None Required","Sow on sandy raising mix, light sand dusting. Keep moist in warm spot. Germination in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","20 Seeds","Sought after floristry foliage plant.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfRm7bwWtwdGyI0n0bPeAFNAtzL0-gLodmNg&s","Fast","3m - 6m","2m - 4m","Compact round silver-grey leaves closely hugging stems.","Creamy white clustered blossoms.","Spring (Sep - Nov)","Well drained forest clay loams, granitic clay","High (-8°C)","High","Vulnerable","NSW"
"Clitoria ternatea","Butterfly Pea","Fabaceae","Scarification (Warm Soak)","Soak in warm water for 12\text{--}24\text{ hours} until swollen. Sow in deep organic mix. Germination in 1\text{--}2\text{ weeks}.","Unstarted","N/A","N/A","30 Seeds","Fast climbing legume with edible indigo blossoms.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Asian_pigeonwings_in_Bhopal_04.jpg/250px-Asian_pigeonwings_in_Bhopal_04.jpg","Fast","2m - 3m vine","1m - 2m spread","Lush pinnate light-green leaflets.","Vibrant royal-blue blossoms with white centers.","Summer (Dec - Feb)","Rich deep loam, moist garden earths","Low (5°C)","Moderate","Least Concern","Global"
"Dendrocalamus strictus","Male Bamboo / Solid Bamboo","Poaceae","Warm Water Soak","Soak in water for 24\text{ hours}. Sow in warm seedbed (25\text{--}30^\circ\text{C}). Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","20 Seeds","Extremely strong, near solid structural culms.","https://ask-ayurveda.com/media/uploads/wiki/Dendrocalamus_strictus_2_1.png","Very Fast","8m - 15m","3m - 5m clump","Narrow lanceolate light-green bamboo leaves.","Inconspicuous wind-pollinated grass plumes.","Summer (Dec - Jan)","Dry stony river clay loam","Low (0°C)","High","Least Concern","Global"
"Eucalyptus tereticornis","Forest Red Gum","Eucalyptus","None Required","Sow fine seeds on surface. Do not bury. Keep warm and damp. Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","50 Seeds","Massive koala habitat tree. Smooth grey mottled bark.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyFOoaGOeO7ziL6elOMp-Jil-b7VucwxP3CA&s","Fast","20m - 50m","10m - 25m","Narrow glossy green curved sickle leaves.","Clusters of fluffy white blossoms.","Spring (Aug - Oct)","Rich deep alluvial clay flats","High (-6°C)","Moderate","Least Concern","QLD / NSW / VIC"
"Brachychiton rupestris","Queensland Bottle Tree","Brachychiton","None Required","Sow in free draining loam, cover seed depth. Maintain warm position (20\text{--}25^\circ\text{C}). Germination in 2\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","10 Seeds","Slowly forms a massive bottle-shaped water-storing trunk.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSLZApwIvFDQD91cNcqZs0Pt_O8lpXfM7OCw&s","Slow","10m - 20m","5m - 8m","Glossy green divided hand-shaped narrow lobes.","Small cream bell clusters in spring.","Spring (Sep - Nov)","Clay-loam, dry basalt hillsides","Moderate (-5°C)","High","Least Concern","QLD"
"Cotinus coggygria","Smoke Tree","Cotinus","Cold Stratification ($3\text{--}4\text{ weeks}$)","Pour hot water over seed, soak 24\text{ hours}, then cold stratify for 1\text{ month}. Sow. Germination in 4\text{--}8\text{ weeks}.","Unstarted","N/A","N/A","10 Seeds","Stunning ornamental. Purplish-pink fluffy blooms.","https://upload.wikimedia.org/wikipedia/commons/7/75/Cotinus_coggygria5.jpg","Moderate","3m - 5m","3m - 5m","Ovate green leaves turning fiery orange/purple in autumn.","Huge smoke-like billowy pinkish plumes.","Summer (Nov - Jan)","Well drained alkaline loams, poor soils","High (-15°C)","High","Least Concern","Global"
"Eucalyptus microcorys","Tallowwood Tree","Eucalyptus","None Required","Sow fine seeds on surface. Do not bury. Keep warm and damp. Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","20 Seeds","High value durable structural timber. Soft stringy orange bark.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLC82mBt22E67Ncp7Rd-Z0aN9S_BcslpgZxQ&s","Fast","30m - 60m","15m - 25m","Light green thin leaves, highly aromatic.","Fluffy small cream clusters.","Spring (Sep - Nov)","Moist rich coastal clays, forest compost","Moderate (-3°C)","Moderate","Least Concern","NSW / QLD"
"Eucalyptus polybractea","Blue Leaved Mallee","Eucalyptus","None Required","Surface sow on fine sand-loam mix. Keep damp. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","20 Seeds","Primary commercial source for high-cineole eucalyptus oil.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSc8IQOSNKqDAbsk4FqbDFY24u8jxOEpHHNQ&s","Fast","3m - 8m","3m - 6m","Silvery-blue stiff glaucous narrow leaves.","White flower clusters.","Autumn (Mar - May)","Dry stony gravelly plains, clay loam","High (-7°C)","Extremely High","Least Concern","NSW / VIC"
"Eucalyptus caesia","Silver Princess","Eucalyptus","None Required","Sow on sandy raising mix. Keep warm and damp. Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","50 Seeds","Stunning weeping branches covered in white waxy powder.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMJ3ilyEOR3bE_AsQvGpHOFYW_onRBNdzwmg&s","Fast","4m - 8m","3m - 6m","Drooping dark green contrast foliage with powdery white stems.","Showy rich pink-red flower tufts with golden stamens.","Spring (Sep - Nov)","Granite sands, clay loams, adaptability","Moderate (-4°C)","High","Vulnerable","WA"
"Eucalyptus marginata","Jarrah Eucalyptus","Eucalyptus","None Required","Sow on porous mix, cover to seed depth. Place warm, well-lit. Germinates in 3\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","50 Seeds","Legendary red timber giant tree.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTC2W5YGpSEc7pcVqQWqYGiYRXKQxt57FOPJQ&s","Slow","10m - 40m","8m - 20m","Glossy dark-green curved sickle leaves.","Showy cream white puff globes.","Spring (Sep - Nov)","Demands deep forest gravels, sandstone-clays","Moderate (-4°C)","High","Least Concern","WA"
"Eucalyptus coccifera","Tasmanian Snow Gum","Eucalyptus","Cold Stratification ($4\text{--}6\text{ weeks}$)","Moist cold stratify in fridge for 1\text{ month} before sowing. Germinates in 3\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","50 Seeds","Alpine native tree, peeling grey and orange bark.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRtSujeHFqcaZ49rTHB0Oz_z_lv2pemFHW_Q&s","Moderate","4m - 12m","3m - 8m","Leathery blue-green ovate leaves with bright red stems.","Paired white tufted blooms.","Summer (Dec - Feb)","Alpine skeletal rocky granite, gravels","High (-12°C)","Moderate","Least Concern","TAS"
"Corymbia maculata","Spotted Gum","Corymbia","None Required","Sow seeds on standard soil, light cover. Place in warm sunny spot. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","50 Seeds","Mottled dimpled grey bark tree.","https://inaturalist-open-data.s3.amazonaws.com/photos/70653472/original.jpg","Fast","20m - 45m","10m - 20m","Lush glossy green curved lanceolate leaves.","Huge creamy white clusters.","Winter (Jun - Sep)","Adaptable, enjoys heavy dry clay silt soils","Moderate (-5°C)","High","Least Concern","NSW / QLD / VIC"
"Acacia acuminata","Raspberry Jam Wattle","Acacia","Scarification (Hot Water)","Sow in well-drained sandy mix. Cover lightly. Keep warm. Germination in 2\text{--}5\text{ weeks}.","Germinated","N/A","N/A","50 Seeds","Fresh cut wood smells intensely of raspberry jam.","https://tuckerbush.com.au/wp-content/uploads/2018/10/Raspberry-Jam-Wattle-Acacia-acuminiata-1.jpg","Moderate","3m - 7m","2.5m - 5m","Fine linear, long green hair-like leaves.","Rich golden yellow cylindrical rods.","Spring (Sep - Oct)","Granite sands, dry laterite clay","High (-7°C)","High","Least Concern","WA"
